Client_ID,Geographic_Zone,Average_Ticket
276,Ciudad de México,1767.47
277,Zona Metropolitana de Monterrey,328.73
278,Ciudad de México,205.68
279,Zona Metropolitana de Monterrey,1107.21
280,Zona Metropolitana de Guadalajara,1441.28
281,Ciudad de México,814.91
282,Noroeste,1165.35
283,Bajío,680.84
284,Zona Metropolitana de Monterrey,2106.33
285,Bajío,1535.81
286,Noroeste,1434.83
287,Sur,1987.27
288,Noroeste,1116.25
289,Ciudad de México,1545.18
290,Sur,849.13
291,Zona Metropolitana de Monterrey,771.58
292,Zona Metropolitana de Monterrey,1321.86
293,Noroeste,872.14
294,Bajío,150.0
295,Zona Metropolitana de Monterrey,921.03
296,Ciudad de México,2181.71
297,Ciudad de México,1436.05
298,Ciudad de México,2696.96
300,Ciudad de México,5260.3
301,Ciudad de México,1242.33
302,Ciudad de México,1531.64
303,Ciudad de México,2274.01
304,Noroeste,1278.28
305,Sur,2796.37
306,Ciudad de México,2175.6
307,Ciudad de México,1427.52
308,Zona Metropolitana de Guadalajara,1523.56
309,Bajío,732.53
310,Ciudad de México,534.35
311,Zona Metropolitana de Monterrey,2306.87
312,Noroeste,1044.78
314,Noroeste,1908.48
315,Ciudad de México,150.0
316,Bajío,316.94
317,Ciudad de México,2596.36
318,Zona Metropolitana de Monterrey,1679.08
319,Noroeste,2192.92
320,Ciudad de México,428.63
321,Zona Metropolitana de Monterrey,1088.14
322,Noroeste,2000.38
323,Bajío,550.9
324,Ciudad de México,336.2
325,Zona Metropolitana de Monterrey,541.4
326,Zona Metropolitana de Monterrey,1089.1
327,Bajío,2547.61
328,Ciudad de México,755.36
329,Bajío,909.79
330,Bajío,1361.3
331,Zona Metropolitana de Monterrey,1327.14
332,Bajío,570.43
333,Sur,521.81
334,Noroeste,718.71
335,Noroeste,580.82
336,Zona Metropolitana de Monterrey,2955.0
337,Ciudad de México,607.6
338,Noroeste,342.81
339,Ciudad de México,1120.47
340,Zona Metropolitana de Guadalajara,452.83
341,Zona Metropolitana de Monterrey,896.82
342,Noroeste,2387.94
343,Ciudad de México,1900.57
345,Ciudad de México,2194.6
346,Ciudad de México,469.12
348,Sureste,2301.69
349,Zona Metropolitana de Monterrey,1820.84
350,Zona Metropolitana de Guadalajara,1483.87
351,Zona Metropolitana de Monterrey,3475.73
352,Zona Metropolitana de Guadalajara,3120.01
353,Noroeste,631.81
354,Ciudad de México,1375.87
355,Sureste,2303.14
356,Zona Metropolitana de Guadalajara,1222.98
357,Ciudad de México,1464.82
358,Zona Metropolitana de Monterrey,2224.86
359,Ciudad de México,1270.25
360,Zona Metropolitana de Guadalajara,2058.72
361,Ciudad de México,1284.04
362,Ciudad de México,1602.88
363,Ciudad de México,1699.52
364,Ciudad de México,660.46
365,Ciudad de México,479.84
366,Sur,3152.78
367,Zona Metropolitana de Guadalajara,1410.05
368,Zona Metropolitana de Guadalajara,1931.4
369,Noroeste,277.12
370,Ciudad de México,2043.93
371,Bajío,1190.32
372,Zona Metropolitana de Guadalajara,1227.85
373,Zona Metropolitana de Guadalajara,785.21
374,Zona Metropolitana de Guadalajara,337.97
376,Bajío,1066.54
377,Bajío,1610.64
378,Zona Metropolitana de Monterrey,2194.84
379,Zona Metropolitana de Guadalajara,2729.89
380,Zona Metropolitana de Monterrey,1271.73
381,Ciudad de México,1958.81
382,Zona Metropolitana de Monterrey,1968.37
384,Bajío,1210.88
385,Ciudad de México,6292.59
386,Zona Metropolitana de Guadalajara,1091.88
387,Zona Metropolitana de Monterrey,2562.18
388,Bajío,1423.9
389,Zona Metropolitana de Monterrey,1831.77
390,Sur,1289.56
391,Zona Metropolitana de Monterrey,418.76
392,Ciudad de México,2793.06
393,Zona Metropolitana de Guadalajara,1364.51
395,Zona Metropolitana de Guadalajara,887.91
396,Zona Metropolitana de Guadalajara,177.33
397,Ciudad de México,1380.49
398,Zona Metropolitana de Guadalajara,150.0
399,Zona Metropolitana de Monterrey,1720.55
400,Ciudad de México,1758.67
402,Zona Metropolitana de Monterrey,778.16
403,Ciudad de México,2821.33
404,Ciudad de México,3866.53
405,Ciudad de México,1770.23
406,Ciudad de México,2400.45
407,Zona Metropolitana de Monterrey,629.95
408,Ciudad de México,319.03
409,Noroeste,2558.6
410,Zona Metropolitana de Guadalajara,384.81
411,Zona Metropolitana de Guadalajara,2038.49
412,Ciudad de México,2729.96
413,Noroeste,1446.71
414,Ciudad de México,1069.71
415,Zona Metropolitana de Guadalajara,2413.22
416,Ciudad de México,1744.19
417,Bajío,464.99
418,Bajío,565.06
419,Ciudad de México,1338.62
420,Zona Metropolitana de Monterrey,2412.27
421,Zona Metropolitana de Guadalajara,150.0
422,Zona Metropolitana de Guadalajara,586.15
423,Ciudad de México,150.0
424,Zona Metropolitana de Monterrey,830.33
425,Sur,2138.7
426,Noroeste,1669.11
427,Zona Metropolitana de Monterrey,1262.21
428,Bajío,1830.61
429,Ciudad de México,1136.87
430,Zona Metropolitana de Monterrey,676.12
431,Noroeste,1931.2
432,Zona Metropolitana de Monterrey,1569.53
434,Ciudad de México,2086.01
435,Zona Metropolitana de Monterrey,956.91
436,Zona Metropolitana de Guadalajara,1122.39
437,Bajío,1804.17
438,Ciudad de México,1175.45
439,Zona Metropolitana de Monterrey,1840.81
440,Ciudad de México,736.47
441,Zona Metropolitana de Monterrey,493.98
442,Ciudad de México,3265.92
443,Sureste,386.07
444,Bajío,4782.54
445,Zona Metropolitana de Monterrey,949.0
446,Zona Metropolitana de Guadalajara,656.59
447,Bajío,554.37
448,Zona Metropolitana de Guadalajara,699.6
449,Zona Metropolitana de Monterrey,1898.9
450,Bajío,150.0
451,Ciudad de México,1564.53
452,Bajío,5470.39
453,Zona Metropolitana de Guadalajara,1100.89
454,Zona Metropolitana de Monterrey,1446.84
455,Noroeste,306.62
456,Ciudad de México,2385.0
457,Ciudad de México,1784.51
458,Bajío,1475.71
459,Bajío,568.96
460,Ciudad de México,945.56
461,Zona Metropolitana de Monterrey,1385.86
462,Zona Metropolitana de Guadalajara,751.18
463,Ciudad de México,802.77
464,Sureste,317.82
465,Zona Metropolitana de Guadalajara,1231.88
466,Ciudad de México,2097.1
467,Noroeste,150.0
468,Zona Metropolitana de Monterrey,963.27
469,Zona Metropolitana de Guadalajara,1179.71
470,Ciudad de México,356.6
471,Zona Metropolitana de Monterrey,755.25
472,Noroeste,1651.98
473,Ciudad de México,1407.56
474,Zona Metropolitana de Monterrey,549.54
475,Zona Metropolitana de Monterrey,894.78
476,Noroeste,1765.31
478,Zona Metropolitana de Monterrey,1759.77
479,Bajío,1026.64
480,Ciudad de México,910.63
481,Zona Metropolitana de Monterrey,1080.48
482,Sureste,1526.92
483,Sur,1803.86
484,Ciudad de México,1644.77
486,Sureste,2426.97
487,Zona Metropolitana de Monterrey,3984.67
488,Ciudad de México,2368.83
489,Zona Metropolitana de Monterrey,1352.18
490,Zona Metropolitana de Guadalajara,1749.16
491,Sureste,1610.16
492,Zona Metropolitana de Monterrey,856.25
493,Ciudad de México,172.11
494,Zona Metropolitana de Guadalajara,955.2
495,Ciudad de México,848.19
496,Bajío,265.07
498,Ciudad de México,5043.11
499,Ciudad de México,1238.54
500,Ciudad de México,431.84
501,Zona Metropolitana de Guadalajara,307.16
502,Noroeste,4213.93
503,Zona Metropolitana de Monterrey,1330.91
504,Zona Metropolitana de Monterrey,1193.38
505,Ciudad de México,2198.08
506,Bajío,1111.5
507,Bajío,767.62
508,Ciudad de México,2906.23
509,Zona Metropolitana de Guadalajara,1749.7
510,Ciudad de México,1954.2
511,Bajío,1897.67
512,Ciudad de México,1161.59
513,Bajío,492.63
514,Zona Metropolitana de Monterrey,150.0
515,Sureste,1786.86
516,Noroeste,1310.54
517,Zona Metropolitana de Monterrey,1139.27
518,Zona Metropolitana de Guadalajara,1829.51
519,Ciudad de México,1631.61
520,Noroeste,1183.35
521,Sureste,1042.89
522,Zona Metropolitana de Monterrey,2682.17
523,Zona Metropolitana de Guadalajara,569.44
524,Noroeste,1865.97
525,Sureste,4439.92
526,Sureste,2070.98
527,Noroeste,499.06
529,Zona Metropolitana de Guadalajara,775.1
530,Zona Metropolitana de Monterrey,1136.37
531,Sur,1519.04
532,Zona Metropolitana de Monterrey,1026.02
533,Zona Metropolitana de Monterrey,2097.04
534,Zona Metropolitana de Monterrey,1137.1
535,Ciudad de México,2085.78
536,Sur,226.48
537,Zona Metropolitana de Monterrey,1414.66
538,Sur,846.19
539,Ciudad de México,1362.33
541,Zona Metropolitana de Monterrey,2886.2
542,Ciudad de México,547.84
543,Zona Metropolitana de Guadalajara,282.63
544,Ciudad de México,1918.77
545,Zona Metropolitana de Guadalajara,546.17
547,Zona Metropolitana de Guadalajara,670.12
548,Zona Metropolitana de Guadalajara,342.5
549,Zona Metropolitana de Monterrey,911.06
550,Sureste,368.97
551,Noroeste,1681.16
552,Sureste,2137.17
553,Ciudad de México,2823.85
554,Zona Metropolitana de Monterrey,2423.22
555,Zona Metropolitana de Guadalajara,1393.52
556,Ciudad de México,1391.83
557,Sur,3138.95
558,Ciudad de México,4202.25
559,Zona Metropolitana de Monterrey,750.2
560,Zona Metropolitana de Guadalajara,1179.9
561,Zona Metropolitana de Guadalajara,1348.15
563,Ciudad de México,908.78
564,Ciudad de México,1250.02
565,Noroeste,2537.15
566,Bajío,2500.9
567,Ciudad de México,2525.69
568,Zona Metropolitana de Monterrey,969.79
569,Ciudad de México,2581.41
570,Bajío,1564.23
571,Ciudad de México,1671.89
573,Zona Metropolitana de Monterrey,1444.58
574,Ciudad de México,2181.88
575,Noroeste,759.42
576,Ciudad de México,1261.89
577,Ciudad de México,1185.75
578,Noroeste,646.3
579,Noroeste,1403.81
580,Zona Metropolitana de Guadalajara,1349.0
581,Zona Metropolitana de Monterrey,1058.65
582,Noroeste,613.45
583,Bajío,610.76
584,Bajío,551.69
585,Ciudad de México,319.63
586,Ciudad de México,2984.3
587,Zona Metropolitana de Monterrey,847.32
588,Bajío,2227.75
590,Zona Metropolitana de Monterrey,1751.45
591,Ciudad de México,908.61
592,Bajío,1192.37
593,Bajío,527.24
594,Ciudad de México,1147.82
595,Zona Metropolitana de Guadalajara,1348.48
596,Zona Metropolitana de Guadalajara,765.82
597,Zona Metropolitana de Guadalajara,1103.12
598,Ciudad de México,2792.16
599,Zona Metropolitana de Monterrey,2737.42
600,Ciudad de México,2277.06
601,Ciudad de México,914.29
602,Ciudad de México,2743.84
603,Sur,1403.45
604,Bajío,2665.62
605,Bajío,945.27
606,Ciudad de México,1990.87
607,Ciudad de México,327.93
608,Zona Metropolitana de Monterrey,871.91
609,Zona Metropolitana de Guadalajara,1064.16
611,Bajío,410.14
612,Bajío,1131.93
613,Ciudad de México,789.46
614,Ciudad de México,150.0
615,Noroeste,1536.83
616,Ciudad de México,4053.18
617,Noroeste,517.85
618,Sureste,1687.58
619,Ciudad de México,1189.14
620,Zona Metropolitana de Guadalajara,986.44
621,Ciudad de México,1185.34
622,Zona Metropolitana de Monterrey,1019.03
623,Bajío,1286.34
624,Ciudad de México,3248.47
625,Bajío,504.74
626,Bajío,991.06
627,Sur,1864.52
628,Ciudad de México,1887.95
629,Ciudad de México,659.56
630,Zona Metropolitana de Guadalajara,1679.68
631,Zona Metropolitana de Guadalajara,1024.57
632,Noroeste,166.87
633,Zona Metropolitana de Guadalajara,3300.15
634,Bajío,1197.58
635,Noroeste,210.17
636,Noroeste,1177.0
637,Zona Metropolitana de Guadalajara,1844.13
638,Zona Metropolitana de Guadalajara,1584.43
639,Sureste,439.89
640,Ciudad de México,2393.9
641,Ciudad de México,1290.21
642,Ciudad de México,570.81
643,Noroeste,554.23
644,Zona Metropolitana de Monterrey,728.44
645,Bajío,1135.19
646,Ciudad de México,935.16
647,Ciudad de México,476.86
648,Bajío,257.61
649,Ciudad de México,2230.54
650,Sur,1410.42
651,Zona Metropolitana de Monterrey,1378.03
652,Noroeste,819.73
653,Noroeste,1176.14
654,Zona Metropolitana de Guadalajara,823.12
655,Noroeste,1810.77
656,Sur,869.66
657,Noroeste,818.04
658,Zona Metropolitana de Guadalajara,626.26
659,Bajío,924.11
660,Zona Metropolitana de Guadalajara,1795.37
661,Ciudad de México,2969.56
662,Noroeste,345.95
663,Noroeste,1694.75
664,Ciudad de México,2229.92
665,Ciudad de México,1737.55
666,Bajío,1559.25
667,Bajío,1873.45
668,Bajío,953.14
669,Sur,1751.58
670,Zona Metropolitana de Monterrey,283.45
671,Sur,2161.93
672,Bajío,2473.56
673,Zona Metropolitana de Guadalajara,1318.56
674,Ciudad de México,2567.13
675,Zona Metropolitana de Guadalajara,280.59
676,Ciudad de México,3886.43
677,Zona Metropolitana de Monterrey,2613.32
678,Noroeste,1900.44
679,Noroeste,2032.76
680,Bajío,1650.64
681,Bajío,1595.09
682,Ciudad de México,963.47
683,Sur,150.0
684,Zona Metropolitana de Monterrey,2517.82
685,Zona Metropolitana de Monterrey,1824.06
686,Zona Metropolitana de Monterrey,3221.64
687,Zona Metropolitana de Monterrey,845.95
689,Ciudad de México,2361.93
690,Ciudad de México,1753.3
692,Zona Metropolitana de Monterrey,1295.57
693,Bajío,1433.31
694,Bajío,2691.99
695,Bajío,3360.96
696,Zona Metropolitana de Guadalajara,789.73
697,Ciudad de México,730.03
698,Sureste,1168.94
699,Noroeste,1071.49
700,Ciudad de México,2778.97
701,Bajío,1506.9
702,Zona Metropolitana de Guadalajara,1685.77
703,Noroeste,384.63
704,Zona Metropolitana de Monterrey,2797.55
705,Zona Metropolitana de Monterrey,2203.84
706,Zona Metropolitana de Guadalajara,150.0
708,Ciudad de México,1194.96
709,Ciudad de México,4196.74
710,Zona Metropolitana de Guadalajara,1191.4
711,Ciudad de México,1252.92
712,Sureste,1089.06
713,Zona Metropolitana de Guadalajara,659.11
714,Zona Metropolitana de Guadalajara,1332.84
715,Zona Metropolitana de Guadalajara,1082.62
716,Noroeste,976.72
717,Sur,386.23
718,Zona Metropolitana de Monterrey,629.13
719,Noroeste,2494.89
720,Sureste,465.05
721,Zona Metropolitana de Monterrey,1493.74
722,Bajío,685.77
724,Bajío,1003.9
725,Ciudad de México,3227.6
726,Sur,1693.41
727,Zona Metropolitana de Monterrey,2532.65
728,Noroeste,2233.71
729,Ciudad de México,1473.9
730,Ciudad de México,675.48
731,Bajío,200.56
732,Sur,2435.72
733,Ciudad de México,150.0
735,Ciudad de México,1461.94
736,Noroeste,2378.66
737,Bajío,335.52
738,Sureste,3412.49
739,Bajío,323.68
740,Ciudad de México,523.84
741,Ciudad de México,722.64
742,Zona Metropolitana de Guadalajara,484.41
744,Zona Metropolitana de Guadalajara,1536.73
745,Zona Metropolitana de Monterrey,773.37
746,Ciudad de México,150.0
747,Zona Metropolitana de Monterrey,1717.49
748,Ciudad de México,420.13
749,Ciudad de México,2548.38
750,Ciudad de México,3354.54
751,Ciudad de México,1680.27
752,Sur,1434.68
753,Zona Metropolitana de Monterrey,2544.06
754,Ciudad de México,2965.01
755,Ciudad de México,3128.96
756,Zona Metropolitana de Guadalajara,585.98
757,Bajío,688.83
758,Ciudad de México,2639.36
759,Sur,1123.27
760,Ciudad de México,2131.57
762,Zona Metropolitana de Guadalajara,1073.77
763,Zona Metropolitana de Guadalajara,1395.24
764,Zona Metropolitana de Guadalajara,4127.88
765,Zona Metropolitana de Monterrey,2164.19
766,Zona Metropolitana de Monterrey,4285.19
767,Ciudad de México,5444.71
768,Zona Metropolitana de Monterrey,831.98
769,Ciudad de México,194.41
770,Sur,568.54
771,Zona Metropolitana de Monterrey,2635.74
772,Ciudad de México,1153.32
773,Sur,1580.53
775,Zona Metropolitana de Guadalajara,858.16
776,Zona Metropolitana de Guadalajara,2947.26
777,Bajío,1306.95
778,Ciudad de México,1860.47
779,Ciudad de México,2373.04
780,Ciudad de México,2273.52
781,Noroeste,2613.98
782,Bajío,894.72
783,Noroeste,1893.21
784,Noroeste,1094.04
785,Zona Metropolitana de Monterrey,1621.42
786,Zona Metropolitana de Guadalajara,1670.26
787,Zona Metropolitana de Monterrey,2300.39
788,Bajío,1399.93
789,Zona Metropolitana de Guadalajara,2142.31
790,Ciudad de México,1960.9
792,Ciudad de México,851.11
793,Zona Metropolitana de Guadalajara,576.11
794,Ciudad de México,1083.74
795,Zona Metropolitana de Monterrey,716.64
796,Bajío,2076.27
797,Zona Metropolitana de Monterrey,1716.97
799,Sur,1863.08
800,Zona Metropolitana de Guadalajara,1586.8
801,Zona Metropolitana de Monterrey,1778.84
802,Ciudad de México,2766.52
803,Noroeste,1813.51
804,Bajío,1483.55
805,Zona Metropolitana de Monterrey,555.09
806,Ciudad de México,1206.4
807,Bajío,977.03
808,Bajío,333.15
809,Zona Metropolitana de Monterrey,461.93
810,Zona Metropolitana de Monterrey,639.76
811,Ciudad de México,1936.19
812,Bajío,1465.16
813,Bajío,1477.11
814,Noroeste,1323.61
815,Ciudad de México,150.0
816,Ciudad de México,1103.29
817,Zona Metropolitana de Monterrey,2474.66
818,Ciudad de México,2752.38
819,Ciudad de México,1232.17
820,Noroeste,918.89
821,Ciudad de México,1746.93
824,Ciudad de México,2023.69
825,Sureste,1200.61
826,Zona Metropolitana de Monterrey,159.19
827,Zona Metropolitana de Monterrey,2307.12
828,Bajío,2234.1
829,Noroeste,1391.07
830,Bajío,1631.25
831,Noroeste,2318.98
832,Zona Metropolitana de Guadalajara,1433.35
833,Sureste,589.83
836,Ciudad de México,3138.91
837,Ciudad de México,150.0
838,Zona Metropolitana de Guadalajara,1870.24
839,Bajío,1360.68
840,Zona Metropolitana de Monterrey,1242.43
842,Zona Metropolitana de Guadalajara,2499.08
843,Zona Metropolitana de Monterrey,181.66
844,Zona Metropolitana de Monterrey,1734.66
845,Noroeste,1560.38
846,Noroeste,334.24
847,Zona Metropolitana de Monterrey,872.51
848,Sureste,590.07
849,Ciudad de México,2075.87
850,Ciudad de México,1155.64
851,Noroeste,150.0
852,Ciudad de México,742.66
853,Bajío,1849.17
854,Zona Metropolitana de Monterrey,1893.7
855,Bajío,319.97
857,Sur,1920.1
858,Ciudad de México,1408.72
859,Ciudad de México,2975.93
860,Bajío,506.74
861,Bajío,1370.46
862,Zona Metropolitana de Guadalajara,1112.88
863,Zona Metropolitana de Guadalajara,1622.46
864,Zona Metropolitana de Monterrey,150.0
865,Zona Metropolitana de Guadalajara,2026.3
866,Zona Metropolitana de Monterrey,874.25
867,Ciudad de México,2410.32
868,Sureste,1780.24
869,Zona Metropolitana de Monterrey,2449.57
870,Noroeste,1994.4
871,Noroeste,1754.49
872,Ciudad de México,772.36
873,Bajío,1098.2
874,Zona Metropolitana de Monterrey,1224.47
875,Ciudad de México,1839.35
876,Zona Metropolitana de Monterrey,2206.85
877,Noroeste,1281.26
878,Zona Metropolitana de Guadalajara,1109.86
879,Ciudad de México,2982.89
880,Ciudad de México,150.0
881,Ciudad de México,1608.39
882,Zona Metropolitana de Guadalajara,2421.31
883,Ciudad de México,1175.86
884,Bajío,2260.29
885,Noroeste,631.14
886,Zona Metropolitana de Monterrey,1135.33
887,Ciudad de México,1666.7
888,Ciudad de México,2675.17
889,Sur,2022.52
890,Bajío,882.07
