Month,Year,Product_id,Region,Units_expected,Stock,Percentage
June,2025,49,Bajío,1097,1600,145.85
June,2025,105,Zona Metropolitana De Guadalajara,1518,2214,145.85
January,2025,96,Zona Metropolitana De Guadalajara,2205,3215,145.8
July,2025,95,Ciudad De México,2021,2946,145.77
August,2025,111,Zona Metropolitana De Monterrey,1144,1667,145.72
January,2025,19,Bajío,1667,2429,145.71
January,2025,111,Zona Metropolitana De Monterrey,1029,1498,145.58
June,2025,56,Zona Metropolitana De Monterrey,1232,1793,145.54
October,2025,64,Zona Metropolitana De Monterrey,1296,1886,145.52
June,2025,10,Zona Metropolitana De Monterrey,980,1426,145.51
December,2025,126,Zona Metropolitana De Guadalajara,1020,1484,145.49
October,2025,63,Bajío,1100,1600,145.45
January,2025,123,Ciudad De México,1913,2781,145.37
December,2025,74,Zona Metropolitana De Monterrey,1156,1680,145.33
March,2025,33,Ciudad De México,1688,2452,145.26
July,2025,73,Noroeste,1297,1883,145.18
August,2025,34,Ciudad De México,1399,2031,145.18
November,2025,65,Bajío,1885,2736,145.15
December,2025,43,Zona Metropolitana De Monterrey,2461,3572,145.14
June,2025,103,Ciudad De México,1417,2055,145.02
March,2025,47,Zona Metropolitana De Monterrey,1992,2888,144.98
April,2025,42,Zona Metropolitana De Monterrey,1009,1462,144.9
November,2025,67,Zona Metropolitana De Guadalajara,989,1433,144.89
October,2025,38,Ciudad De México,1444,2092,144.88
April,2025,101,Ciudad De México,1694,2454,144.86
October,2025,32,Zona Metropolitana De Monterrey,1789,2591,144.83
May,2025,117,Ciudad De México,1481,2144,144.77
December,2025,126,Ciudad De México,1028,1488,144.75
November,2025,126,Bajío,891,1289,144.67
November,2025,83,Ciudad De México,1816,2626,144.6
February,2025,91,Ciudad De México,850,1229,144.59
May,2025,60,Zona Metropolitana De Guadalajara,928,1340,144.4
April,2025,104,Noroeste,1000,1444,144.4
February,2025,21,Ciudad De México,998,1441,144.39
August,2025,104,Zona Metropolitana De Monterrey,1056,1524,144.32
November,2025,39,Zona Metropolitana De Monterrey,1410,2034,144.26
November,2025,120,Zona Metropolitana De Monterrey,853,1230,144.2
November,2025,102,Ciudad De México,1294,1866,144.2
May,2025,111,Ciudad De México,1188,1712,144.11
May,2025,68,Ciudad De México,2694,3882,144.1
June,2025,90,Zona Metropolitana De Guadalajara,728,1049,144.09
November,2025,124,Zona Metropolitana De Monterrey,819,1180,144.08
June,2025,108,Zona Metropolitana De Guadalajara,1666,2400,144.06
November,2025,24,Zona Metropolitana De Monterrey,790,1138,144.05
February,2025,93,Zona Metropolitana De Monterrey,1379,1986,144.02
March,2025,40,Zona Metropolitana De Guadalajara,1484,2134,143.8
July,2025,105,Ciudad De México,1696,2438,143.75
March,2025,130,Ciudad De México,1554,2233,143.69
May,2025,116,Ciudad De México,790,1135,143.67
April,2025,97,Ciudad De México,2470,3548,143.64
May,2025,48,Zona Metropolitana De Monterrey,1160,1666,143.62
October,2025,59,Zona Metropolitana De Monterrey,1730,2484,143.58
February,2025,18,Zona Metropolitana De Monterrey,1742,2501,143.57
March,2025,105,Zona Metropolitana De Monterrey,1756,2520,143.51
November,2025,18,Zona Metropolitana De Monterrey,1994,2859,143.38
October,2025,92,Ciudad De México,973,1395,143.37
March,2025,103,Zona Metropolitana De Guadalajara,1194,1711,143.3
August,2025,72,Zona Metropolitana De Guadalajara,1824,2613,143.26
February,2025,24,Ciudad De México,955,1368,143.25
July,2025,130,Zona Metropolitana De Monterrey,1476,2113,143.16
September,2025,27,Ciudad De México,808,1156,143.07
April,2025,33,Ciudad De México,1595,2282,143.07
October,2025,32,Zona Metropolitana De Guadalajara,1625,2324,143.02
December,2025,28,Noroeste,575,822,142.96
October,2025,57,Zona Metropolitana De Monterrey,1747,2497,142.93
May,2025,50,Zona Metropolitana De Monterrey,1198,1712,142.9
February,2025,99,Zona Metropolitana De Guadalajara,1148,1640,142.86
February,2025,27,Zona Metropolitana De Guadalajara,708,1011,142.8
May,2025,4,Zona Metropolitana De Guadalajara,1358,1939,142.78
August,2025,49,Ciudad De México,1524,2175,142.72
April,2025,7,Ciudad De México,1285,1833,142.65
May,2025,105,Ciudad De México,1796,2562,142.65
January,2025,1,Ciudad De México,2166,3089,142.61
October,2025,125,Zona Metropolitana De Monterrey,1850,2638,142.59
December,2025,106,Sur,1310,1867,142.52
March,2025,123,Ciudad De México,1884,2685,142.52
April,2025,76,Bajío,680,969,142.5
February,2025,75,Zona Metropolitana De Monterrey,1167,1663,142.5
November,2025,18,Ciudad De México,1942,2767,142.48
May,2025,36,Ciudad De México,1850,2635,142.43
February,2025,125,Zona Metropolitana De Guadalajara,1683,2397,142.42
May,2025,55,Zona Metropolitana De Monterrey,1853,2639,142.42
April,2025,27,Bajío,604,860,142.38
June,2025,84,Zona Metropolitana De Monterrey,1335,1900,142.32
February,2025,72,Zona Metropolitana De Guadalajara,1840,2617,142.23
February,2025,63,Zona Metropolitana De Monterrey,1299,1847,142.19
September,2025,65,Zona Metropolitana De Guadalajara,2065,2936,142.18
April,2025,47,Bajío,1411,2006,142.17
December,2025,121,Ciudad De México,970,1379,142.16
July,2025,4,Zona Metropolitana De Guadalajara,1224,1740,142.16
March,2025,7,Ciudad De México,1396,1984,142.12
August,2025,17,Zona Metropolitana De Guadalajara,1715,2437,142.1
November,2025,31,Ciudad De México,1775,2521,142.03
August,2025,55,Zona Metropolitana De Monterrey,1939,2753,141.98
July,2025,4,Ciudad De México,1376,1953,141.93
December,2025,125,Zona Metropolitana De Monterrey,1589,2255,141.91
September,2025,23,Ciudad De México,845,1199,141.89
January,2025,119,Ciudad De México,2141,3037,141.85
March,2025,82,Ciudad De México,1394,1975,141.68
March,2025,55,Zona Metropolitana De Monterrey,2224,3151,141.68
January,2025,92,Zona Metropolitana De Monterrey,898,1272,141.65
February,2025,58,Zona Metropolitana De Monterrey,1112,1575,141.64
March,2025,38,Ciudad De México,1802,2552,141.62
May,2025,123,Zona Metropolitana De Monterrey,1687,2389,141.61
December,2025,130,Zona Metropolitana De Monterrey,1361,1927,141.59
December,2025,128,Zona Metropolitana De Monterrey,1092,1546,141.58
April,2025,8,Ciudad De México,1394,1973,141.54
June,2025,125,Zona Metropolitana De Guadalajara,1950,2760,141.54
August,2025,4,Zona Metropolitana De Monterrey,1265,1790,141.5
December,2025,58,Ciudad De México,1625,2299,141.48
November,2025,66,Zona Metropolitana De Monterrey,1712,2422,141.47
October,2025,96,Zona Metropolitana De Monterrey,2250,3182,141.42
March,2025,27,Zona Metropolitana De Monterrey,751,1062,141.41
December,2025,79,Zona Metropolitana De Monterrey,2118,2995,141.41
June,2025,86,Ciudad De México,1015,1435,141.38
December,2025,29,Zona Metropolitana De Guadalajara,735,1039,141.36
November,2025,85,Ciudad De México,1439,2034,141.35
May,2025,8,Zona Metropolitana De Guadalajara,1373,1940,141.3
May,2025,17,Zona Metropolitana De Guadalajara,2059,2909,141.28
January,2025,129,Zona Metropolitana De Monterrey,1747,2467,141.21
April,2025,11,Zona Metropolitana De Monterrey,2128,3005,141.21
May,2025,92,Zona Metropolitana De Monterrey,937,1323,141.2
July,2025,83,Sureste,1464,2067,141.19
August,2025,64,Zona Metropolitana De Monterrey,1549,2187,141.19
February,2025,76,Ciudad De México,930,1313,141.18
September,2025,109,Ciudad De México,2047,2890,141.18
November,2025,93,Bajío,1365,1927,141.17
July,2025,71,Zona Metropolitana De Guadalajara,1961,2768,141.15
July,2025,75,Ciudad De México,1468,2072,141.14
June,2025,36,Ciudad De México,2064,2913,141.13
June,2025,14,Zona Metropolitana De Monterrey,1683,2375,141.12
December,2025,112,Ciudad De México,1851,2610,141.0
June,2025,100,Ciudad De México,1964,2769,140.99
January,2025,121,Zona Metropolitana De Monterrey,989,1394,140.95
May,2025,104,Zona Metropolitana De Monterrey,1304,1838,140.95
February,2025,107,Bajío,1777,2504,140.91
December,2025,16,Ciudad De México,2330,3283,140.9
April,2025,12,Zona Metropolitana De Monterrey,2157,3039,140.89
July,2025,109,Zona Metropolitana De Monterrey,1602,2256,140.82
May,2025,88,Ciudad De México,745,1049,140.81
March,2025,96,Bajío,1902,2678,140.8
March,2025,16,Zona Metropolitana De Guadalajara,1743,2454,140.79
October,2025,10,Zona Metropolitana De Monterrey,1469,2068,140.78
December,2025,2,Ciudad De México,1479,2082,140.77
October,2025,24,Ciudad De México,871,1226,140.76
November,2025,77,Bajío,1396,1965,140.76
September,2025,108,Zona Metropolitana De Monterrey,2095,2949,140.76
July,2025,73,Zona Metropolitana De Guadalajara,1389,1955,140.75
June,2025,76,Zona Metropolitana De Guadalajara,783,1102,140.74
June,2025,35,Ciudad De México,1782,2507,140.68
November,2025,38,Zona Metropolitana De Monterrey,1254,1764,140.67
March,2025,42,Zona Metropolitana De Monterrey,873,1228,140.66
April,2025,60,Zona Metropolitana De Monterrey,795,1118,140.63
May,2025,75,Zona Metropolitana De Monterrey,1167,1641,140.62
February,2025,68,Bajío,1892,2660,140.59
September,2025,17,Bajío,1659,2332,140.57
December,2025,105,Zona Metropolitana De Monterrey,1322,1858,140.54
June,2025,39,Zona Metropolitana De Monterrey,1517,2132,140.54
March,2025,77,Zona Metropolitana De Monterrey,1618,2274,140.54
October,2025,26,Zona Metropolitana De Monterrey,820,1152,140.49
May,2025,89,Zona Metropolitana De Monterrey,1553,2181,140.44
January,2025,57,Zona Metropolitana De Monterrey,1610,2261,140.43
August,2025,48,Zona Metropolitana De Guadalajara,1195,1678,140.42
March,2025,57,Ciudad De México,2257,3169,140.41
April,2025,46,Zona Metropolitana De Guadalajara,1206,1693,140.38
February,2025,103,Bajío,949,1332,140.36
August,2025,108,Zona Metropolitana De Guadalajara,1683,2362,140.34
March,2025,26,Ciudad De México,727,1020,140.3
November,2025,84,Zona Metropolitana De Monterrey,1474,2068,140.3
March,2025,38,Zona Metropolitana De Monterrey,1543,2164,140.25
June,2025,58,Sureste,1245,1745,140.16
April,2025,62,Bajío,1258,1763,140.14
May,2025,7,Ciudad De México,1304,1826,140.03
December,2025,44,Noroeste,1187,1662,140.02
January,2025,39,Noroeste,1322,1851,140.02
April,2025,63,Ciudad De México,1457,2040,140.01
August,2025,4,Ciudad De México,1700,2380,140.0
January,2025,32,Ciudad De México,1668,2335,139.99
June,2025,73,Bajío,1675,2344,139.94
June,2025,79,Zona Metropolitana De Guadalajara,1530,2141,139.93
October,2025,53,Ciudad De México,1323,1851,139.91
February,2025,31,Ciudad De México,1596,2233,139.91
June,2025,83,Ciudad De México,2155,3015,139.91
July,2025,22,Zona Metropolitana De Guadalajara,624,873,139.9
December,2025,40,Ciudad De México,1321,1848,139.89
May,2025,110,Ciudad De México,1703,2382,139.87
October,2025,96,Ciudad De México,2784,3894,139.87
March,2025,27,Zona Metropolitana De Guadalajara,660,923,139.85
January,2025,37,Zona Metropolitana De Guadalajara,1335,1867,139.85
March,2025,123,Zona Metropolitana De Monterrey,1526,2134,139.84
August,2025,77,Noroeste,1514,2117,139.83
July,2025,123,Ciudad De México,1683,2353,139.81
September,2025,43,Ciudad De México,2272,3176,139.79
February,2025,94,Zona Metropolitana De Monterrey,1122,1568,139.75
March,2025,75,Zona Metropolitana De Monterrey,1374,1920,139.74
November,2025,51,Zona Metropolitana De Monterrey,1169,1633,139.69
July,2025,44,Ciudad De México,1547,2161,139.69
December,2025,109,Zona Metropolitana De Guadalajara,1813,2532,139.66
August,2025,47,Zona Metropolitana De Guadalajara,2088,2916,139.66
April,2025,121,Ciudad De México,976,1363,139.65
October,2025,91,Ciudad De México,1246,1740,139.65
June,2025,124,Zona Metropolitana De Monterrey,941,1314,139.64
May,2025,33,Bajío,1335,1864,139.63
February,2025,112,Zona Metropolitana De Monterrey,1996,2787,139.63
April,2025,8,Noroeste,1067,1489,139.55
July,2025,63,Ciudad De México,1250,1744,139.52
June,2025,75,Ciudad De México,1260,1758,139.52
February,2025,92,Ciudad De México,1056,1473,139.49
December,2025,30,Zona Metropolitana De Monterrey,736,1026,139.4
September,2025,82,Zona Metropolitana De Guadalajara,1376,1918,139.39
October,2025,39,Ciudad De México,1841,2566,139.38
November,2025,2,Zona Metropolitana De Monterrey,1490,2076,139.33
November,2025,114,Zona Metropolitana De Guadalajara,1907,2657,139.33
November,2025,106,Zona Metropolitana De Monterrey,1913,2665,139.31
February,2025,78,Bajío,983,1369,139.27
August,2025,8,Zona Metropolitana De Monterrey,1561,2174,139.27
May,2025,111,Zona Metropolitana De Guadalajara,898,1250,139.2
November,2025,85,Zona Metropolitana De Monterrey,1750,2436,139.2
December,2025,96,Zona Metropolitana De Guadalajara,2124,2956,139.17
December,2025,97,Zona Metropolitana De Guadalajara,1717,2389,139.14
September,2025,91,Zona Metropolitana De Monterrey,1135,1579,139.12
June,2025,32,Zona Metropolitana De Monterrey,1365,1899,139.12
July,2025,93,Ciudad De México,1616,2248,139.11
October,2025,58,Ciudad De México,1770,2462,139.1
August,2025,19,Ciudad De México,1872,2604,139.1
November,2025,71,Zona Metropolitana De Monterrey,1979,2752,139.06
June,2025,124,Sur,561,780,139.04
April,2025,25,Noroeste,600,834,139.0
June,2025,60,Sur,762,1059,138.98
September,2025,32,Zona Metropolitana De Guadalajara,1552,2157,138.98
August,2025,13,Zona Metropolitana De Guadalajara,1706,2371,138.98
May,2025,101,Ciudad De México,2065,2870,138.98
April,2025,127,Zona Metropolitana De Monterrey,1637,2274,138.91
May,2025,15,Bajío,1644,2283,138.87
April,2025,110,Zona Metropolitana De Guadalajara,1632,2266,138.85
October,2025,128,Bajío,1012,1405,138.83
April,2025,18,Zona Metropolitana De Monterrey,2099,2914,138.83
December,2025,47,Zona Metropolitana De Monterrey,2358,3273,138.8
September,2025,39,Ciudad De México,2045,2836,138.68
May,2025,111,Bajío,750,1040,138.67
October,2025,40,Zona Metropolitana De Monterrey,1389,1926,138.66
September,2025,34,Zona Metropolitana De Guadalajara,1258,1744,138.63
August,2025,17,Bajío,1610,2232,138.63
August,2025,41,Zona Metropolitana De Monterrey,1820,2523,138.63
August,2025,126,Zona Metropolitana De Guadalajara,997,1382,138.62
February,2025,128,Sur,746,1034,138.61
August,2025,40,Zona Metropolitana De Guadalajara,1295,1795,138.61
September,2025,8,Ciudad De México,1622,2248,138.59
April,2025,126,Bajío,941,1304,138.58
July,2025,86,Zona Metropolitana De Guadalajara,817,1132,138.56
November,2025,76,Zona Metropolitana De Monterrey,794,1100,138.54
October,2025,34,Ciudad De México,1710,2369,138.54
September,2025,54,Zona Metropolitana De Guadalajara,1883,2608,138.5
December,2025,6,Bajío,894,1238,138.48
March,2025,113,Ciudad De México,2617,3623,138.44
October,2025,127,Zona Metropolitana De Monterrey,1686,2334,138.43
May,2025,66,Ciudad De México,1827,2529,138.42
January,2025,104,Zona Metropolitana De Monterrey,1211,1676,138.4
October,2025,121,Ciudad De México,1074,1486,138.36
January,2025,35,Ciudad De México,1233,1706,138.36
September,2025,120,Zona Metropolitana De Guadalajara,973,1346,138.34
April,2025,118,Zona Metropolitana De Monterrey,1553,2148,138.31
January,2025,86,Bajío,731,1011,138.3
February,2025,106,Noroeste,1444,1997,138.3
October,2025,28,Zona Metropolitana De Monterrey,703,972,138.26
January,2025,31,Ciudad De México,1498,2071,138.25
October,2025,123,Ciudad De México,1893,2617,138.25
July,2025,76,Ciudad De México,761,1052,138.24
May,2025,22,Zona Metropolitana De Monterrey,790,1092,138.23
November,2025,34,Zona Metropolitana De Guadalajara,1245,1721,138.23
June,2025,96,Zona Metropolitana De Monterrey,2326,3215,138.22
December,2025,31,Zona Metropolitana De Monterrey,1275,1762,138.2
October,2025,60,Zona Metropolitana De Monterrey,1033,1427,138.14
October,2025,68,Zona Metropolitana De Monterrey,2199,3037,138.11
March,2025,73,Zona Metropolitana De Monterrey,2342,3234,138.09
November,2025,94,Sureste,943,1302,138.07
September,2025,69,Ciudad De México,1127,1556,138.07
December,2025,113,Zona Metropolitana De Guadalajara,1772,2446,138.04
November,2025,87,Zona Metropolitana De Monterrey,2073,2861,138.01
April,2025,32,Ciudad De México,1631,2250,137.95
February,2025,17,Ciudad De México,2216,3057,137.95
April,2025,48,Ciudad De México,1371,1891,137.93
August,2025,29,Ciudad De México,837,1154,137.87
August,2025,89,Ciudad De México,1611,2221,137.86
September,2025,9,Zona Metropolitana De Guadalajara,1313,1810,137.85
September,2025,95,Zona Metropolitana De Monterrey,1765,2433,137.85
February,2025,1,Ciudad De México,1624,2238,137.81
March,2025,47,Zona Metropolitana De Guadalajara,1630,2246,137.79
June,2025,18,Ciudad De México,2287,3151,137.78
September,2025,99,Ciudad De México,1300,1791,137.77
January,2025,78,Bajío,993,1368,137.76
January,2025,28,Zona Metropolitana De Guadalajara,612,843,137.75
December,2025,3,Zona Metropolitana De Monterrey,1251,1723,137.73
April,2025,118,Noroeste,1220,1680,137.7
February,2025,13,Ciudad De México,1971,2714,137.7
January,2025,3,Zona Metropolitana De Monterrey,1187,1634,137.66
May,2025,43,Zona Metropolitana De Guadalajara,2229,3068,137.64
July,2025,80,Zona Metropolitana De Guadalajara,699,962,137.63
May,2025,120,Zona Metropolitana De Monterrey,858,1180,137.53
July,2025,50,Ciudad De México,1423,1957,137.53
November,2025,63,Ciudad De México,1692,2327,137.53
October,2025,126,Ciudad De México,1141,1569,137.51
August,2025,103,Zona Metropolitana De Monterrey,1181,1624,137.51
January,2025,5,Zona Metropolitana De Monterrey,1014,1394,137.48
July,2025,78,Zona Metropolitana De Monterrey,1374,1889,137.48
May,2025,104,Ciudad De México,1351,1857,137.45
December,2025,129,Zona Metropolitana De Monterrey,1763,2423,137.44
September,2025,45,Zona Metropolitana De Guadalajara,1678,2306,137.43
April,2025,75,Zona Metropolitana De Guadalajara,1176,1616,137.41
December,2025,59,Zona Metropolitana De Monterrey,1586,2179,137.39
August,2025,101,Zona Metropolitana De Monterrey,1800,2473,137.39
March,2025,102,Zona Metropolitana De Monterrey,1193,1639,137.38
April,2025,117,Ciudad De México,1421,1952,137.37
April,2025,97,Zona Metropolitana De Guadalajara,1732,2379,137.36
October,2025,11,Ciudad De México,2125,2919,137.36
March,2025,70,Sur,536,736,137.31
July,2025,24,Noroeste,582,799,137.29
July,2025,91,Ciudad De México,1282,1760,137.29
May,2025,130,Zona Metropolitana De Monterrey,1046,1436,137.28
January,2025,23,Zona Metropolitana De Guadalajara,706,969,137.25
April,2025,69,Zona Metropolitana De Guadalajara,747,1025,137.22
September,2025,130,Zona Metropolitana De Monterrey,1397,1917,137.22
May,2025,88,Zona Metropolitana De Monterrey,911,1250,137.21
November,2025,40,Zona Metropolitana De Guadalajara,1290,1770,137.21
November,2025,127,Ciudad De México,2354,3230,137.21
January,2025,23,Ciudad De México,863,1184,137.2
April,2025,9,Ciudad De México,1842,2527,137.19
February,2025,126,Zona Metropolitana De Monterrey,1197,1642,137.18
December,2025,10,Ciudad De México,1264,1734,137.18
June,2025,64,Zona Metropolitana De Guadalajara,1655,2270,137.16
December,2025,85,Noroeste,999,1370,137.14
September,2025,129,Noroeste,1279,1754,137.14
December,2025,91,Ciudad De México,1045,1433,137.13
April,2025,49,Zona Metropolitana De Guadalajara,1475,2022,137.08
August,2025,78,Ciudad De México,1470,2015,137.07
August,2025,10,Ciudad De México,1282,1757,137.05
February,2025,46,Zona Metropolitana De Monterrey,1490,2042,137.05
March,2025,5,Ciudad De México,1080,1480,137.04
July,2025,118,Zona Metropolitana De Guadalajara,1504,2061,137.03
March,2025,120,Zona Metropolitana De Monterrey,886,1214,137.02
February,2025,14,Bajío,1351,1851,137.01
July,2025,67,Ciudad De México,976,1337,136.99
November,2025,65,Ciudad De México,2001,2741,136.98
June,2025,127,Zona Metropolitana De Monterrey,1877,2571,136.97
September,2025,60,Bajío,882,1208,136.96
December,2025,3,Bajío,1047,1434,136.96
December,2025,119,Zona Metropolitana De Guadalajara,2048,2805,136.96
May,2025,121,Ciudad De México,980,1342,136.94
March,2025,8,Ciudad De México,1581,2165,136.94
May,2025,120,Zona Metropolitana De Guadalajara,945,1294,136.93
December,2025,36,Ciudad De México,1652,2262,136.92
October,2025,101,Zona Metropolitana De Guadalajara,1420,1944,136.9
April,2025,85,Ciudad De México,1323,1811,136.89
September,2025,37,Bajío,1596,2184,136.84
January,2025,44,Zona Metropolitana De Monterrey,1928,2638,136.83
March,2025,117,Zona Metropolitana De Guadalajara,1225,1676,136.82
April,2025,92,Ciudad De México,1136,1554,136.8
May,2025,69,Bajío,867,1186,136.79
April,2025,54,Ciudad De México,2566,3510,136.79
August,2025,25,Ciudad De México,1025,1402,136.78
December,2025,51,Ciudad De México,1403,1919,136.78
December,2025,74,Ciudad De México,1539,2105,136.78
October,2025,101,Ciudad De México,1999,2734,136.77
February,2025,110,Zona Metropolitana De Monterrey,2014,2754,136.74
May,2025,101,Zona Metropolitana De Guadalajara,1696,2319,136.73
September,2025,87,Zona Metropolitana De Guadalajara,1922,2628,136.73
February,2025,115,Ciudad De México,1792,2450,136.72
September,2025,67,Ciudad De México,900,1230,136.67
February,2025,86,Ciudad De México,881,1204,136.66
May,2025,108,Bajío,1711,2338,136.65
April,2025,56,Zona Metropolitana De Monterrey,1741,2379,136.65
April,2025,114,Bajío,1278,1746,136.62
November,2025,20,Bajío,1516,2071,136.61
September,2025,81,Sureste,1142,1560,136.6
October,2025,36,Ciudad De México,1795,2452,136.6
November,2025,105,Noroeste,1179,1610,136.56
July,2025,34,Zona Metropolitana De Monterrey,1874,2559,136.55
December,2025,58,Bajío,1210,1652,136.53
December,2025,128,Zona Metropolitana De Guadalajara,1016,1387,136.52
May,2025,109,Ciudad De México,1631,2226,136.48
October,2025,111,Zona Metropolitana De Monterrey,1190,1624,136.47
December,2025,44,Zona Metropolitana De Monterrey,1904,2598,136.45
February,2025,67,Sureste,656,895,136.43
July,2025,79,Zona Metropolitana De Monterrey,1787,2438,136.43
March,2025,119,Ciudad De México,2067,2820,136.43
August,2025,27,Zona Metropolitana De Guadalajara,577,787,136.4
June,2025,20,Noroeste,1682,2294,136.39
May,2025,5,Zona Metropolitana De Guadalajara,833,1136,136.37
April,2025,108,Zona Metropolitana De Monterrey,1741,2374,136.36
September,2025,79,Ciudad De México,1906,2599,136.36
December,2025,70,Zona Metropolitana De Guadalajara,762,1039,136.35
January,2025,48,Zona Metropolitana De Monterrey,1481,2019,136.33
January,2025,122,Ciudad De México,1017,1386,136.28
